武汉市,19558
孝感市,2751
黄冈市,2398
随州市,1129
荆州市,1110
襄阳市,1088
黄石市,874
鄂州市,861
宜昌市,784
荆门市,696
十堰市,536
咸宁市,525
仙桃市,460
天门市,293
恩施土家族苗族自治州,203
潜江市,90
神农架林区,10
